feature,shap_importance
lyrics_word_count,1.3935946373869972
track_number,1.3817905256953629
duration_ms,1.247286393212533
instrumentalness,0.5889328023719754
lyrics_line_count,0.5452502413971613
embed_322,0.5089726558794591
gender_type,0.4612221498177283
energy,0.35772285150314276
loudness,0.3509872869862948
embed_50,0.27807878271827585
embed_285,0.2633052594716547
embed_374,0.24426489983282046
liveness,0.24154861731997124
embed_2,0.22785628149307438
embed_180,0.21353187771655896
speechiness,0.2003904789199785
embed_479,0.18099998267490855
embed_33,0.17436895879704492
embed_181,0.17362445317126007
embed_85,0.1733835184869818
